customer_id,order_date,order_time,sku,item_id,item_quantity,item_price,item_discount_raw,item_discount_percentage,item_disc_bins_item_disc_null,item_disc_bins_item_disc_sub_twenty,item_disc_bins_item_disc_sub_forty,item_disc_bins_item_disc_sub_sixty,item_disc_bins_item_disc_sub_eighty,item_disc_bins_item_disc_sub_hundred
4506,2022-01-22,05:55:32,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4507,2022-01-22,05:48:58,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4508,2022-01-22,05:37:34,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4509,2022-01-22,05:28:30,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4510,2022-01-22,05:18:25,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4511,2022-01-22,05:08:03,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4512,2022-01-22,04:55:22,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4513,2022-01-22,04:48:58,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4514,2022-01-22,04:39:51,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4515,2022-01-22,04:29:59,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4516,2022-01-22,04:18:19,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4517,2022-01-22,04:08:10,,Wine Virgin - Monthly,1,44.0,0.0,0.0,True,False,False,False,False,False
4518,2022-12-22,13:55:36,,Flor de Cana 12 Year,1,106.0,0.0,0.0,True,False,False,False,False,False
4519,2022-12-22,13:52:29,,Westcott Reserve Pinot Noir 2019,1,66.0,0.0,0.0,True,False,False,False,False,False
4519,2022-12-22,13:52:29,,DeLoach Vineyards Russian River Pinot Noir 2019,1,68.0,0.0,0.0,True,False,False,False,False,False
4519,2022-12-22,13:52:29,,By the Glass - Wine - Gonzo Vino Pyrrho,1,12.0,0.0,0.0,True,False,False,False,False,False
4520,2022-12-30,11:54:45,,Chizay Blaufrankish 2020,1,52.0,0.0,0.0,True,False,False,False,False,False
4520,2022-12-30,11:54:45,,Bock Ermitage Cuvee 2018,1,59.0,0.0,0.0,True,False,False,False,False,False
4520,2022-12-30,11:54:45,,BounceBack - Sleeve,1,19.9,0.0,0.0,True,False,False,False,False,False
4521,2023-07-07,18:37:43,,Dürer-Weg Lagrein Sudtirol DOC Alto Aldige 2020,1,54.0,0.0,0.0,True,False,False,False,False,False
4521,2023-07-07,18:37:43,,Sawyer Lindquist Pinot Noir 2017,1,56.0,0.0,0.0,True,False,False,False,False,False
4522,2023-04-21,17:51:13,,Sawyer Lindquist Pinot Noir 2017,1,56.0,0.0,0.0,True,False,False,False,False,False
4523,2023-04-12,20:48:07,,Sawyer Lindquist Pinot Noir 2017,1,55.0,0.0,0.0,True,False,False,False,False,False
4523,2023-04-12,20:48:07,BBW-WINE-092,The Prisoner Red Blend 2019,1,104.0,0.0,0.0,True,False,False,False,False,False
